geoid10,los_dist_score,los_acre_score,los_exp_score,los_total_score,la_dist_score,la_acre_score,la_exp_score,la_total_score,gw_score_loop_contiguous,los_gw_total_score,la_gw_total_score,totpop_2018,area,popdensity_sqmi,tothh_2018
"371830527072016","2","3","3","8","2","3","4","9","2","10","11",0,0.0219220876619523,0,"0"
"371830538084019","3","3","3","9","3","3","3","9","3","12","12",0,0.0171358594725261,0,"0"
"371830515022025","4","5","4","13","4","5","5","14","5","18","19",47,0.012341216668414,3808.37653716035,"20"
"371830516002003","3","4","4","11","3","4","5","12","3","14","15",53,0.00257404758051068,20590.1399808177,"33"
"371830506003022","5","5","5","15","5","5","5","15","5","20","20",16,0.00481582560943612,3322.37944178245,"9"
"371830537171001","2","5","1","8","2","5","2","9","2","10","11",0,0.00936532645193796,0,"0"
"371830540012001","2","2","3","7","2","2","4","8","2","9","10",48,0.0205502973342256,2335.73262806559,"22"
"371830525051007","3","3","4","10","3","3","4","10","5","15","15",7,0.00112431006353137,6226.04050880196,"2"
"371830537162002","5","5","4","14","5","5","4","14","5","19","19",43,0.00479756780055368,8962.87489569974,"27"
"371830525043025","5","5","4","14","5","5","5","15","4","18","19",0,0.000261878490367236,0,"0"
"371830524011079","1","5","2","8","2","5","2","9","3","11","12",0,0.00343903419040803,0,"0"
"371830540131049","3","5","3","11","3","5","3","11","5","16","16",120,0.0198931754071355,6032.21946944463,"66"
"371830540182006","2","4","3","9","2","4","3","9","2","11","11",0,0.00430833254777559,0,"0"
"371830541042008","4","3","2","9","4","3","2","9","3","12","12",127,0.00731046287565722,17372.360979069,"26"
"371830527011013","5","3","4","12","5","3","4","12","2","14","14",71,0.0179290598042854,3960.05149043172,"28"
"371830516001006","3","4","5","12","5","4","5","14","3","15","17",0,0.000755990448049004,0,"0"
"371830518002022","5","4","5","14","5","4","5","14","4","18","18",13,0.00720190967159663,1805.07679112809,"9"
"371830537231009","3","1","2","6","3","1","3","7","3","9","10",0,0.00810360292615469,0,"0"
"371830526032014","5","3","4","12","5","4","5","14","5","17","19",349,0.0249477770754931,13989.2223240536,"196"
"371830523011005","5","5","4","14","5","5","4","14","5","19","19",34,0.0054116379959181,6282.75579882571,"16"
"371830524062023","1","5","2","8","2","5","3","10","3","11","13",25,0.00356403284213671,7014.52570931193,"24"
"371830524062015","1","2","2","5","2","2","2","6","3","8","9",0,0.000920555452645883,0,"0"
"371830521014033","4","4","5","13","4","4","5","13","4","17","17",163,0.0613016577660982,2658.98192544712,"57"
"371830540142008","4","2","1","7","4","3","2","9","3","10","12",11,0.0102066189612256,1077.73201309743,"5"
"371830528061001","2","1","1","4","2","1","1","4","3","7","7",18,0.0139424404378219,1291.02219086202,"6"
"371830530082004","2","3","2","7","2","3","2","7","2","9","9",20,0.00947138507843874,2111.62357293753,"8"
"371830528061030","2","2","2","6","3","3","3","9","4","10","13",0,0.00205784500403056,0,"0"
"371830540082015","3","4","3","10","3","4","4","11","2","12","13",12,0.00123630827644006,9706.3169669574,"4"
"371830515012001","3","3","4","10","3","3","5","11","3","13","14",56,0.0347512314540198,1611.45368543543,"22"
"371830537163000","3","4","3","10","3","4","4","11","5","15","16",202,0.00906919548054538,22273.1994732407,"104"
"371830537191011","1","1","1","3","5","1","2","8","1","4","9",16,0.00215380935677243,7428.698343096,"5"
"371830540072008","1","2","3","6","2","2","3","7","4","10","11",18,0.00329993148603437,5454.65870312088,"5"
"371830540072002","1","3","3","7","2","3","3","8","5","12","13",0,0.000445837800697059,0,"0"
"371830517003004","3","2","3","8","3","2","4","9","4","12","13",0,0.00538632928417317,0,"0"
"371830525043020","5","5","4","14","5","5","4","14","4","18","18",0,0.00412920389497869,0,"0"
"371830525041019","1","5","3","9","1","5","4","10","4","13","14",0,0.00630341676261667,0,"0"
"371830525032017","4","5","3","12","4","5","3","12","4","16","16",45,0.037804512108367,1190.33410273903,"16"
"371839802001022","1","5","2","8","1","5","2","8","5","13","13",0,0.00426113685382044,0,"0"
"371830526011019","3","3","3","9","4","3","4","11","5","14","16",27,0.00827360587259206,3263.38967746129,"13"
"371830503001002","4","4","5","13","5","5","5","15","3","16","18",0,0.00653730966556512,0,"0"
"371830527063005","2","1","3","6","2","1","4","7","3","9","10",1,0.00644466034886844,155.167215317341,"1"
"371830540131032","3","5","2","10","3","5","2","10","5","15","15",4,0.00114702190710191,3487.29172061456,"1"
"371830538071003","4","2","3","9","4","2","3","9","2","11","11",0,0.0133970472714142,0,"0"
"371830527073012","4","4","3","11","4","4","4","12","3","14","15",78,0.00517691529539881,15066.8874318507,"21"
"371830501001021","5","5","5","15","5","5","5","15","4","19","19",58,0.00623814910482012,9297.62963748082,"38"
"371830540131040","4","5","3","12","4","5","3","12","5","17","17",50,0.00642902624607488,7777.22754367764,"29"
"371830541043014","2","2","3","7","5","3","4","12","2","9","14",6,0.018253641941952,328.701528115894,"2"
"371830540083005","2","3","3","8","4","4","4","12","2","10","14",257,0.0243759210170221,10543.1913657963,"94"
"371830540151036","3","3","3","9","3","4","3","10","2","11","12",0,0.00773220974667851,0,"0"
"371830512003030","5","5","5","15","5","5","5","15","4","19","19",18,0.00388653991001778,4631.36888253841,"6"
"371830508003007","5","5","5","15","5","5","5","15","4","19","19",55,0.00339589693494912,16196.0156782037,"16"
"371830517002013","3","4","5","12","5","4","5","14","3","15","17",39,0.00829903975162789,4699.33885933611,"20"
